appid,name,developer,genres_steam,price,country,genre,release_year,metacritic_score,total_recommendations,is_free
540100,Imprisoned Light,imaginite Ltd,"Acción, Aventura, Indie, Rol",0.79,,,2016,0,174,False
453950,To Ash,16 Bit Psych,"Indie, Rol",1.5,,,2016,0,0,False
346470,Tennis Elbow 2013,Mana Games,"Simuladores, Deportes",14.99,,,2015,0,666,False
366760,Adorables,White Rabbit,"Casual, Indie, Deportes, Estrategia",2.99,,,2016,0,210,False
731230,Snake: Road to apple,ANV Team,Acción,0.99,,,2017,0,0,False
312900,Zoo Rampage,ViWo Games,"Acción, Casual, Indie",3.99,,,2014,0,0,False
323720,Decay: The Mare,Shining Gate Software,"Aventura, Indie",4.99,,,2015,60,1609,False
403740,GabeN: The Final Decision,Alex Zhang,"Casual, Rol",0.99,,,2015,0,0,False
265970,Worlds of Magic,Wastelands Interactive,"Rol, Estrategia",0.99,,,2015,52,413,False
740320,Djilyaro,HoneyBeeSoftware,Indie,1.99,,,2017,0,0,False
601570,Fix Me Fix You,Sapphire Dragon Productions,"Contenido sexual, Casual, Indie, Simuladores",6.89,,,2017,0,0,False
269330,Chronology,Bedtime Digital Games,"Aventura, Indie",0.99,,,2014,0,517,False
527990,Gladiator Trainer,Pilgrim Adventures,"Acción, Aventura, Indie, Rol",1.99,,,2016,0,241,False
1212620,Pretty Neko,GirlGames,"Casual, Indie, Rol, Simuladores",0.69,,,2020,0,2695,False
814200,Simple Story - Alex,KuKo,Aventura,0.49,,,2018,0,126,False
40400,AI War: Fleet Command,Arcen Games,"Indie, Estrategia",2.43,,,2009,80,984,False
384080,Industry Manager: Future Technologies,astragon Entertainment,Simuladores,14.99,,,2016,0,232,False
45450,Fortix 2,Nemesys Games,"Casual, Indie",1.99,,,2011,74,264,False
429570,The Walking Dead: Michonne - A Telltale Miniseries,Telltale Games,Aventura,2.95,,,2016,0,5881,False
408110,Planet R-12,Timushev Vladimir,"Acción, Aventura, Indie, Estrategia",1.99,,,2016,0,248,False
454200,Neon Hardcorps,Sergey Dovganovskiy,"Acción, Indie",0.99,,,2016,0,0,False
684770,Fall Fear Fly Redemption,Lobaki,"Acción, Aventura, Casual, Indie, Deportes",0.99,,,2017,0,0,False
71230,Crazy Taxi,SEGA,"Acción, Carreras",0.0,,,2011,0,2376,False
681340,ARRAYNIUM,BOBAFETTA,Casual,0.79,,,2017,0,0,False
1392190,Rock Paper Sock,Sokpop Collective,"Aventura, Casual, Indie, Multijugador masivo",2.99,,,2020,0,0,False
371500,Grey Cubes,Deion Mobile,"Acción, Casual, Indie",0.0,,,2015,0,343,False
447940,Brine,BrineTeam,"Aventura, Indie, Acceso anticipado",3.99,,,2016,0,0,False
33620,Crash Time 3,Synetic,"Acción, Carreras",5.99,,,2009,0,518,False
1309860,Family Mysteries 3: Criminal Mindset,Brave Giant LTD,"Aventura, Casual",2.99,,,2020,0,102,False
259340,Chicken Shoot Gold,ToonTRAXX Studios,"Acción, Casual, Indie",12.79,,,2003,0,192,False
